20210130022604,10.0.0.2,40542,10.0.0.1,5001,3,0.0-1.0,5242880,41943040
20210130022605,10.0.0.2,40542,10.0.0.1,5001,3,1.0-2.0,5242880,41943040
20210130022606,10.0.0.2,40542,10.0.0.1,5001,3,2.0-3.0,4194304,33554432
20210130022607,10.0.0.2,40542,10.0.0.1,5001,3,3.0-4.0,5505024,44040192
20210130022608,10.0.0.2,40542,10.0.0.1,5001,3,4.0-5.0,4718592,37748736
20210130022609,10.0.0.2,40542,10.0.0.1,5001,3,5.0-6.0,4980736,39845888
20210130022610,10.0.0.2,40542,10.0.0.1,5001,3,6.0-7.0,4325376,34603008
20210130022611,10.0.0.2,40542,10.0.0.1,5001,3,7.0-8.0,6422528,51380224
20210130022612,10.0.0.2,40542,10.0.0.1,5001,3,8.0-9.0,4325376,34603008
20210130022613,10.0.0.2,40542,10.0.0.1,5001,3,9.0-10.0,6553600,52428800
20210130022614,10.0.0.2,40542,10.0.0.1,5001,3,10.0-11.0,5636096,45088768
20210130022615,10.0.0.2,40542,10.0.0.1,5001,3,11.0-12.0,4003320,32026560
20210130022616,10.0.0.2,40542,10.0.0.1,5001,3,12.0-13.0,6029312,48234496
20210130022617,10.0.0.2,40542,10.0.0.1,5001,3,13.0-14.0,4456448,35651584
20210130022618,10.0.0.2,40542,10.0.0.1,5001,3,14.0-15.0,6029312,48234496
20210130022619,10.0.0.2,40542,10.0.0.1,5001,3,15.0-16.0,5898240,47185920
20210130022620,10.0.0.2,40542,10.0.0.1,5001,3,16.0-17.0,4587520,36700160
20210130022621,10.0.0.2,40542,10.0.0.1,5001,3,17.0-18.0,4456448,35651584
20210130022622,10.0.0.2,40542,10.0.0.1,5001,3,18.0-19.0,4456448,35651584
20210130022623,10.0.0.2,40542,10.0.0.1,5001,3,19.0-20.0,6029312,48234496
20210130022624,10.0.0.2,40542,10.0.0.1,5001,3,20.0-21.0,5943544,47548352
20210130022625,10.0.0.2,40542,10.0.0.1,5001,3,21.0-22.0,2997360,23978880
20210130022626,10.0.0.2,40542,10.0.0.1,5001,3,22.0-23.0,4365720,34925760
20210130022627,10.0.0.2,40542,10.0.0.1,5001,3,23.0-24.0,2476080,19808640
20210130022628,10.0.0.2,40542,10.0.0.1,5001,3,24.0-25.0,3779280,30234240
20210130022629,10.0.0.2,40542,10.0.0.1,5001,3,25.0-26.0,4456448,35651584
20210130022630,10.0.0.2,40542,10.0.0.1,5001,3,26.0-27.0,3045976,24367808
20210130022631,10.0.0.2,40542,10.0.0.1,5001,3,27.0-28.0,3914864,31318912
20210130022632,10.0.0.2,40542,10.0.0.1,5001,3,28.0-29.0,2598880,20791040
20210130022633,10.0.0.2,40542,10.0.0.1,5001,3,29.0-30.0,6029312,48234496
20210130022634,10.0.0.2,40542,10.0.0.1,5001,3,30.0-31.0,3014656,24117248
20210130022635,10.0.0.2,40542,10.0.0.1,5001,3,31.0-32.0,5898240,47185920
20210130022636,10.0.0.2,40542,10.0.0.1,5001,3,32.0-33.0,4587520,36700160
20210130022637,10.0.0.2,40542,10.0.0.1,5001,3,33.0-34.0,2821656,22573248
20210130022638,10.0.0.2,40542,10.0.0.1,5001,3,34.0-35.0,2793608,22348864
20210130022639,10.0.0.2,40542,10.0.0.1,5001,3,35.0-36.0,3065528,24524224
20210130022640,10.0.0.2,40542,10.0.0.1,5001,3,36.0-37.0,2675320,21402560
20210130022641,10.0.0.2,40542,10.0.0.1,5001,3,37.0-38.0,4587520,36700160
20210130022642,10.0.0.2,40542,10.0.0.1,5001,3,38.0-39.0,2703632,21629056
20210130022643,10.0.0.2,40542,10.0.0.1,5001,3,39.0-40.0,6029312,48234496
20210130022644,10.0.0.2,40542,10.0.0.1,5001,3,40.0-41.0,4456448,35651584
20210130022645,10.0.0.2,40542,10.0.0.1,5001,3,41.0-42.0,6029312,48234496
20210130022646,10.0.0.2,40542,10.0.0.1,5001,3,42.0-43.0,6029312,48234496
20210130022647,10.0.0.2,40542,10.0.0.1,5001,3,43.0-44.0,5898240,47185920
20210130022648,10.0.0.2,40542,10.0.0.1,5001,3,44.0-45.0,6029312,48234496
20210130022649,10.0.0.2,40542,10.0.0.1,5001,3,45.0-46.0,5927264,47418112
20210130022650,10.0.0.2,40542,10.0.0.1,5001,3,46.0-47.0,2671560,21372480
20210130022651,10.0.0.2,40542,10.0.0.1,5001,3,47.0-48.0,4235400,33883200
20210130022652,10.0.0.2,40542,10.0.0.1,5001,3,48.0-49.0,2932200,23457600
20210130022653,10.0.0.2,40542,10.0.0.1,5001,3,49.0-50.0,3670016,29360128
20210130022654,10.0.0.2,40542,10.0.0.1,5001,3,50.0-51.0,2780824,22246592
20210130022655,10.0.0.2,40542,10.0.0.1,5001,3,51.0-52.0,3407872,27262976
20210130022656,10.0.0.2,40542,10.0.0.1,5001,3,52.0-53.0,2920920,23367360
20210130022657,10.0.0.2,40542,10.0.0.1,5001,3,53.0-54.0,6029312,48234496
20210130022658,10.0.0.2,40542,10.0.0.1,5001,3,54.0-55.0,5898240,47185920
20210130022659,10.0.0.2,40542,10.0.0.1,5001,3,55.0-56.0,4587520,36700160
20210130022700,10.0.0.2,40542,10.0.0.1,5001,3,56.0-57.0,5898240,47185920
20210130022701,10.0.0.2,40542,10.0.0.1,5001,3,57.0-58.0,6422528,51380224
20210130022702,10.0.0.2,40542,10.0.0.1,5001,3,58.0-59.0,5242880,41943040
20210130022703,10.0.0.2,40542,10.0.0.1,5001,3,59.0-60.0,7615408,60923264
20210130022703,10.0.0.2,40542,10.0.0.1,5001,3,0.0-60.5,279561016,36977946
